,review,rating,sbjText,actText,actVerbNeg,objText,locText,sbjSentType,objSentType,objSentFromSbjType,locSentType,sbjSentScore,objSentScore,objSentFromSbjScore,actVerbText,locSentScore,actLemma,actVerbTense,foundKeyword,aggKeyword,count
12307,82098,good,the yacht club section,creating,0.0,a wonderful respite from the crowded ship,,neutral,positive,neutral,neutral,0.0,0.828729,0.0,create,0.0,create,present,ship,ship,1
12318,82098,good,the spacious sun deck,had,0.0,more than 15 people laying out,,positive,neutral,neutral,neutral,0.646991,0.0,0.0,have,0.0,have,past,people,people,1
12319,82098,good,15 people,offering,0.0,a very quiet,,neutral,positive,positive,neutral,0.0,0.696288,0.255159,offer,0.0,offer,present,people,people,1
12332,224342,good,our cabins,were,0.0,spacious and clean with a lovely balcony with table and chairs,,positive,positive,neutral,neutral,0.284561,0.907176,0.0,be,0.0,be,past,table,dining,1
12333,224342,good,we,went to explore,0.0,the ship,,neutral,neutral,negative,neutral,0.0,0.0,-0.435503,explore,0.0,go to explore,future,ship,ship,1
12344,224342,good,the buffet lunch,was,0.0,varied one day,,positive,neutral,neutral,neutral,0.514568,0.0,0.0,be,0.0,be,past,buffet,food,1
12347,224342,good,the waiters,were,0.0,so attentive,,neutral,positive,neutral,neutral,0.0,0.760996,0.0,be,0.0,be,past,waiter,dining,1
12349,224342,good,we,did,0.0,not do any ship excursions,,neutral,negative,neutral,neutral,0.0,-0.433702,0.0,do,0.0,do,past,ship,ship,1
12350,224342,good,we,do,1.0,any ship excursions,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,do,0.0,do,past,ship,ship,1
12384,220040,good,food,to have had,0.0,a group of 700 strong austrians on board with us who mostly behaved in my opinion like they owned the place,,neutral,positive,negative,neutral,0.0,0.704659,-0.440585,have,0.0,to have have,past,board,ship,1
12398,220040,good,the waiters,were,0.0,so obliging,,neutral,positive,neutral,neutral,0.0,0.282786,0.0,be,0.0,be,past,waiter,dining,1
12399,220040,good,people,complain,0.0,about that price,,neutral,positive,negative,neutral,0.0,0.231579,-0.316236,complain,0.0,complain,future,people,people,1
12419,260402,good,the ship,is,0.0,absolutely amazing,,neutral,positive,neutral,neutral,0.0,0.822883,0.0,be,0.0,be,present,ship,ship,1
12422,260402,good,the ship,is,0.0,luxurious,,neutral,positive,neutral,neutral,0.0,0.550018,0.0,be,0.0,be,present,ship,ship,1
12423,260402,good,you,can see,0.0,elegance everywhere not to forget the swarovski stairs everytime we got on these stairs we had a royal feeling they are very shiny and glowing,,neutral,positive,positive,neutral,0.0,0.496466,0.406291,see,0.0,can see,future,time,time,1
12436,260402,good,the food at the buffet,was,0.0,good,,neutral,positive,neutral,neutral,0.0,0.494921,0.0,be,0.0,be,past,buffet,food,1
12437,260402,good,tasty food,was served,0.0,,in the main restaurant,positive,neutral,neutral,neutral,0.535016,0.0,0.0,serve,0.0,be serve,past,food,food,1
12440,260402,good,we,did,0.0,not want to leave the ship on the disembarkation day thumbs up to msc splendida,,neutral,negative,neutral,neutral,0.0,-0.204053,0.0,do,0.0,do,past,ship,ship,1
12441,260402,good,we,want,1.0,to leave the ship on the disembarkation day thumbs up to msc splendida,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,want,0.0,want,past,ship,ship,1
12442,260402,good,we,did not want to leave,0.0,the ship,,neutral,neutral,negative,neutral,0.0,0.0,-0.45524,leave,0.0,do not want to leave,past,ship,ship,1
12443,65335,good,by the numerous negative reviews about this ship,were put,0.0,we,,negative,neutral,neutral,neutral,-0.680482,0.0,0.0,put,0.0,be put,past,ship,ship,1
12445,65335,good,the food in the dining room,was,0.0,excellent plentiful,,positive,positive,neutral,neutral,0.342284,0.909368,0.0,be,0.0,be,past,dining room,dining,1
12446,65335,good,the service,was,0.0,perfect waiter,,neutral,positive,neutral,neutral,0.0,0.784141,0.0,be,0.0,be,past,waiter,dining,1
12449,65335,good,the ship,was,0.0,impeccable,,neutral,positive,neutral,neutral,0.0,0.627265,0.0,be,0.0,be,past,ship,ship,1
12451,65335,good,the buffet,was,0.0,very plentiful and varied,,positive,positive,neutral,neutral,0.402791,0.816525,0.0,be,0.0,be,past,buffet,food,1
12454,65335,good,anyone,thinks,0.0,there is not enough food on this ship must eat alot the dining rooms were open for every meal,,negative,negative,neutral,neutral,-0.200952,-0.398507,0.0,think,0.0,think,present,ship,ship,1
12455,65335,good,the buffet,was,0.0,available from 7am,,positive,neutral,neutral,neutral,0.402791,0.0,0.0,be,0.0,be,past,buffet,food,1
12458,65335,good,everyone,tried,0.0,to help even if they did not speak english well there were many nationalities on board,,neutral,positive,negative,neutral,0.0,0.227717,-0.554058,try,0.0,try,past,board,ship,1
12459,65335,good,everyone,to help,0.0,even if they did not speak english well there were many nationalities on board german italian hispanic asian etc,,neutral,neutral,positive,neutral,0.0,0.0,0.47487,help,0.0,to help,future,board,ship,1
12461,65335,good,many nationalities on board german italian hispanic asian etc,were,0.0,should fluently speak 5 or more languages,,negative,positive,neutral,neutral,-0.223128,0.279367,0.0,be,0.0,be,past,board,ship,1
12462,65335,good,i,do,1.0,understand why people would complain about communication problems,,neutral,negative,neutral,neutral,0.0,-0.607165,0.0,do,0.0,do,present,people,people,1
12463,65335,good,i,understand,1.0,why people would complain about communication problems do they think that every staff member onboard the ship should fluently speak 5 or more languages,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,understand,0.0,understand,future,board,ship,1
12464,65335,good,people,would complain,0.0,about communication problems do they think that every staff member onboard the ship should fluently speak 5 or more languages,,neutral,neutral,negative,neutral,0.0,0.0,-0.31398,complain,0.0,would complain,future,board,ship,1
12480,98124,good,the variety of food,offered,0.0,,in both the silver service and the self service,neutral,neutral,neutral,neutral,0.0,0.0,0.0,offer,0.0,offer,past,food,food,1
12481,98124,good,the variety of food offered in both the silver service and the self service,provided,0.0,something,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,provide,0.0,provide,past,food,food,1
12497,51832,bad,we,were,0.0,among approximately 1300 people from the cleveland ohio area that book a cruise every year over super bowl weekend,,neutral,positive,neutral,neutral,0.0,0.211793,0.0,be,0.0,be,past,people,people,1
12501,51832,bad,our biggest disappointment,was,0.0,in the food,,negative,neutral,neutral,neutral,-0.869146,0.0,0.0,be,0.0,be,past,food,food,1
12502,51832,bad,of conflicts between the times the main dinning rooms,were,0.0,open,,negative,neutral,neutral,neutral,-0.744397,0.0,0.0,be,0.0,be,past,times,time,1
12504,51832,bad,we,found,0.0,the buffet line in the cafeteria la piazzetta to be narrow and hard to navigate,,neutral,negative,neutral,neutral,0.0,-0.599576,0.0,find,0.0,find,past,buffet,food,1
12505,51832,bad,people walking back to their table,picking,0.0,up their food,,positive,neutral,negative,neutral,0.223161,0.0,-0.286534,pick,0.0,pick,present,table,dining,1
12506,51832,bad,the buffet's food,was,0.0,of the quality,,neutral,positive,neutral,neutral,0.0,0.483906,0.0,be,0.0,be,past,buffet,food,1
12510,51832,bad,pumpkin tarts,were,0.0,served in the main dining rooms,,positive,neutral,neutral,neutral,0.483167,0.0,0.0,be,0.0,be,past,dining room,dining,1
12512,51832,bad,the selection of meats at the buffets,were,0.0,usually hot dogs hamburgers cheese pizza chicken fish or luncheon meats,,positive,neutral,neutral,neutral,0.619999,0.0,0.0,be,0.0,be,past,buffet,food,1
12513,51832,bad,our assigned table,was,0.0,in the villa borghese,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,be,0.0,be,past,table,dining,1
12520,51832,bad,she,did,1.0,several people,at our table,neutral,neutral,neutral,positive,0.0,0.0,0.0,do,0.204213,do,past,people,people,1
12523,51832,bad,several of the people,planning,0.0,to order two lobsters,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,plan,0.0,plan,past,people,people,1
12524,51832,bad,several of the people,were planning to order,0.0,two lobsters,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,order,0.0,be plan to order,past,people,people,1
12529,51832,bad,a man from another table,said,0.0,that the lobsters were south pacific tiger lobsters not the typical new england lobsters,,neutral,negative,neutral,neutral,0.0,-0.201742,0.0,say,0.0,say,past,table,dining,1
12530,51832,bad,the food service at our table,was,0.0,good,,neutral,positive,neutral,neutral,0.0,0.494921,0.0,be,0.0,be,past,table,dining,1
12532,51832,bad,the waiters,could only take,0.0,wine orders,,neutral,positive,negative,neutral,0.0,0.299178,-0.313835,take,0.0,could only take,future,waiter,dining,1
12538,51832,bad,the people at our table,would want,0.0,a cocktail they would get up,,neutral,neutral,negative,neutral,0.0,0.0,-0.254645,want,0.0,would want,future,table,dining,1
12540,51832,bad,a cocktail they,leave,0.0,the dining room,,positive,positive,neutral,neutral,0.251802,0.535165,0.0,leave,0.0,leave,future,dining room,dining,1
12541,51832,bad,the people at our table,bring,0.0,it,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,bring,0.0,bring,present,table,dining,1
12557,255864,bad,we,boarded,0.0,the ship,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,board,0.0,board,past,board,ship,1
12564,255864,bad,we,found,0.0,an english speaking ship,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,find,0.0,find,past,ship,ship,1
12584,255864,bad,an announcement,regarding,0.0,the time,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,regard,0.0,regard,future,time,time,1
12587,255864,bad,the food,was,0.0,ok,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,be,0.0,be,past,food,food,1
12589,255864,bad,the buffet,had,0.0,very little choice,,positive,negative,neutral,neutral,0.402791,-0.763489,0.0,have,0.0,have,past,buffet,food,1
12590,255864,bad,the buffet,was,0.0,not of a good standard,,positive,negative,neutral,neutral,0.402791,-0.630111,0.0,be,0.0,be,past,buffet,food,1
12591,255864,bad,the food,got,0.0,worse,in the main resturant,neutral,negative,neutral,neutral,0.0,-0.761389,0.0,get,0.0,get,past,food,food,1
12601,253567,bad,passengers,to make,0.0,comfortable uncomfortable waiting area limited access to restrooms no foodwater provided etc,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,make,0.0,to make,future,table,dining,1
12607,253567,bad,the ship,was,0.0,very nice,,neutral,positive,neutral,neutral,0.0,0.723715,0.0,be,0.0,be,past,ship,ship,1
12608,253567,bad,the ship,having,0.0,recently been renovated,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,have,0.0,have,past,ship,ship,1
12609,253567,bad,the ship,renovated,0.0,,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,renovate,0.0,renovate,past,ship,ship,1
12623,253567,bad,i,found,0.0,useful information on it concerning our ports of call the ship or excursions,,neutral,positive,neutral,neutral,0.0,0.366873,0.0,find,0.0,find,past,ship,ship,1
12628,253567,bad,the cabin service,that,0.0,not done on this ship,,positive,negative,neutral,neutral,0.247265,-0.490289,0.0,has,0.0,that,present,ship,ship,1
12629,253567,bad,two places,to eat,0.0,on the boat,,neutral,neutral,positive,neutral,0.0,0.0,0.208774,eat,0.0,to eat,past,boat,ship,1
12631,253567,bad,the buffet,had,0.0,food,,positive,neutral,neutral,neutral,0.402791,0.0,0.0,have,0.0,have,past,buffet,food,1
12632,253567,bad,food a few hours of the day and during those brief times the place,was,0.0,badly overcrowded,,neutral,negative,neutral,neutral,0.0,-0.841987,0.0,be,0.0,be,past,times,time,1
12633,253567,bad,you,were,0.0,lucky enough to find a vacant table,,neutral,negative,neutral,neutral,0.0,-0.600611,0.0,be,0.0,be,past,table,dining,1
12634,253567,bad,you,to find,0.0,a vacant table,,neutral,negative,negative,neutral,0.0,-0.833084,-0.243341,find,0.0,to find,past,table,dining,1
12636,253567,bad,the buffet itself,had,0.0,a very limited set of choices and the food was not particularly appetizing,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,have,0.0,have,past,buffet,food,1
12637,253567,bad,no drinks,were included,0.0,with the buffet,,negative,positive,neutral,neutral,-0.628224,0.501918,0.0,include,0.0,be include,past,buffet,food,1
12640,253567,bad,one of the most infuriating aspects of the buffet,was,0.0,how the crew members would come,,positive,neutral,neutral,neutral,0.885641,0.0,0.0,be,0.0,be,past,buffet,food,1
12642,253567,bad,we,were,0.0,assigned the l'arabesque which also had breakfast for the ship,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,be,0.0,be,past,ship,ship,1
12643,253567,bad,we,were assigned,0.0,the l'arabesque which also had breakfast for the ship,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,assign,0.0,be assign,past,ship,ship,1
12644,253567,bad,the l'arabesque,had,0.0,breakfast for the ship,,neutral,positive,neutral,neutral,0.0,0.480881,0.0,have,0.0,have,past,ship,ship,1
12645,253567,bad,the food here,was,0.0,way too salty in a fairly transparent ploy,,negative,negative,neutral,neutral,-0.260525,-0.609767,0.0,be,0.0,be,past,food,food,1
12651,248496,good,food,was,0.0,italian orientated,,neutral,positive,neutral,neutral,0.0,0.205013,0.0,be,0.0,be,past,food,food,1
12653,248496,good,the ships overall,are,0.0,excellent well maintained,,neutral,positive,neutral,neutral,0.0,0.870983,0.0,be,0.0,be,present,ship,ship,1
12669,262468,good,board around 4pm and our luggage,was,0.0,by our cabin,,positive,positive,neutral,neutral,0.355303,0.335254,0.0,be,0.0,be,past,board,ship,1
12670,262468,good,the ship,was,0.0,huge,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,be,0.0,be,past,ship,ship,1
12674,262468,good,the ship,was,0.0,a little oddly designed,,neutral,negative,neutral,neutral,0.0,-0.726065,0.0,be,0.0,be,past,ship,ship,1
12676,262468,good,the ship,go,0.0,,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,go,0.0,go,present,ship,ship,1
12677,262468,good,the ship,to deck,0.0,five,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,deck,0.0,to deck,future,ship,ship,1
12680,262468,good,the bartenders,tend,0.0,to not acknowledge you until you have been standing there a lot waiting for them to give you the time of the day and their drinks are not impressing they can't make anything but pina colada and even pina colada tasted like smoothie,,positive,positive,negative,neutral,0.393971,0.736383,-0.53492,tend,0.0,tend,present,time,time,1
12683,262468,good,them,to give,0.0,the time of the day and their drinks,,neutral,positive,neutral,neutral,0.0,0.29585,0.0,give,0.0,to give,future,time,time,1
12685,262468,good,i,liked,0.0,their nightly entertainment,,neutral,positive,positive,neutral,0.0,0.348939,0.455908,like,0.0,like,past,entertainment,entertainment,1
12689,262468,good,the entire ship,is,0.0,european based and lots of european clienteles,,positive,neutral,neutral,neutral,0.320785,0.0,0.0,be,0.0,be,present,ship,ship,1
12694,262468,good,all the future passengers,want to bring,0.0,your kids,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,bring,0.0,want to bring,future,passengers,people,1
12699,262468,good,some kids,made,0.0,many people,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,make,0.0,make,past,people,people,1
12709,262468,good,the food on board,was,0.0,aokay,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,be,0.0,be,past,board,ship,1
12711,262468,good,the food selection,was,0.0,enjoyable,,neutral,positive,neutral,neutral,0.0,0.742953,0.0,be,0.0,be,past,food,food,1
12714,261863,good,i,was,0.0,curious to see what i would find onboard the msc divina,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,be,0.0,be,past,board,ship,1
12715,261863,good,i,to see,0.0,what i would find onboard the msc divina,,neutral,negative,positive,neutral,0.0,-0.226806,0.304301,see,0.0,to see,past,board,ship,1
12721,261863,good,entertainment,exceeding,0.0,my expectations,,positive,neutral,positive,neutral,0.353007,0.0,0.279866,exceed,0.0,exceed,past,entertainment,entertainment,1
12722,261863,good,they have the caliber of entertainers and shows onboard msc,would have imagined,0.0,,,positive,neutral,neutral,neutral,0.601778,0.0,0.0,imagine,0.0,would have imagine,future,board,ship,1
12723,261863,good,they,have,0.0,the caliber of entertainers and shows onboard msc,,neutral,positive,neutral,neutral,0.0,0.756872,0.0,have,0.0,have,future,board,ship,1
12725,261863,good,food,was,0.0,,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,be,0.0,be,past,food,food,1
12729,261863,good,buffet,was,0.0,good and offered lots of choices,,neutral,positive,neutral,neutral,0.0,0.708384,0.0,be,0.0,be,past,buffet,food,1
12749,261863,good,i,love,0.0,that they offer a different type of experience onboard,,neutral,positive,positive,neutral,0.0,0.590526,0.587138,love,0.0,love,present,board,ship,1
12767,220593,good,the ships had only just arrived there,was,0.0,a wait of over an hour,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,be,0.0,be,past,ship,ship,1
12768,220593,good,the crew,set,0.0,up the boarding desks and the free tea coffee and cold drink stations,,neutral,positive,positive,neutral,0.0,0.410253,0.417653,set,0.0,set,past,board,ship,1
12769,220593,good,we,were,0.0,given a boarding number,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,be,0.0,be,past,board,ship,1
12770,220593,good,a boarding number,were given,0.0,we,,neutral,neutral,negative,neutral,0.0,0.0,-0.226249,give,0.0,be give,past,board,ship,1
12781,220593,good,the ships officers,were,0.0,,,negative,neutral,neutral,neutral,-0.202718,0.0,0.0,be,0.0,be,past,ship,ship,1
12784,220593,good,a two seat sofa and it,had,0.0,lots of storage space and a decent size safe we then headed off to find the buffet and a bar to book the allegrissimo packages for the trip we booked them at the bar that is just inside the entrance to the buffet and ordered our first drink of the day,,positive,positive,neutral,neutral,0.396276,0.75914,0.0,have,0.0,have,past,buffet,food,1
12785,220593,good,we,headed,0.0,to find the buffet and a bar,,neutral,negative,neutral,neutral,0.0,-0.598518,0.0,head,0.0,head,past,buffet,food,1
12786,220593,good,we,to find,0.0,the buffet and a bar,,neutral,negative,negative,neutral,0.0,-0.468213,-0.243341,find,0.0,to find,future,buffet,food,1
12795,220593,good,many people,missed,0.0,the drill including ourselves,,neutral,neutral,negative,neutral,0.0,0.0,-0.766738,miss,0.0,miss,past,people,people,1
12797,220593,good,msc,had decided,0.0,that printing the time in the daily paper would be adequate and it read as somewhere around 545pm i kid you not,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,decide,0.0,have decide,past,time,time,1
12798,220593,good,the time,printing,0.0,,in the daily paper,neutral,neutral,neutral,neutral,0.0,0.0,0.0,print,0.0,print,past,time,time,1
12802,220593,good,our cases by which time the fantasia was preparing to leave barcelona,to finish sorting,0.0,out,,neutral,neutral,positive,neutral,0.0,0.0,0.245783,sort,0.0,to finish sort,present,time,time,1
12803,220593,good,time the fantasia,was,0.0,preparing to leave barcelona,,positive,neutral,neutral,neutral,0.479451,0.0,0.0,be,0.0,be,past,time,time,1
12804,220593,good,we,had,0.0,received a letter about the lifeboat drill,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,have,0.0,have,past,boat,ship,1
12805,220593,good,we,had received,0.0,a letter about the lifeboat drill for the next day that we were to attend but with no time given,,neutral,negative,neutral,neutral,0.0,-0.469491,0.0,receive,0.0,have receive,past,boat,ship,1
12806,220593,good,we,having,0.0,contacted customer services,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,have,0.0,have,present,customer service,service,1
12823,82136,good,we,get,0.0,on the ship,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,get,0.0,get,future,ship,ship,1
12824,82136,good,this,was,0.0,the only real complaint of the whole experienceshipthe ship is amazing,,neutral,negative,neutral,neutral,0.0,-0.294503,0.0,be,0.0,be,past,ship,ship,1
12839,82136,good,restaurants and barsthe main dining room,called,0.0,the red velvet,,negative,neutral,negative,neutral,-0.465329,0.0,-0.237388,call,0.0,call,past,dining room,dining,1
12842,82136,good,food,is,0.0,absolutely fantastic,,neutral,positive,neutral,neutral,0.0,0.819187,0.0,be,0.0,be,present,food,food,1
12849,82136,good,food here,was,0.0,great,,neutral,positive,neutral,neutral,0.0,0.604214,0.0,be,0.0,be,past,food,food,1
12851,82136,good,to find a table to sit at,trying,0.0,,,negative,neutral,neutral,neutral,-0.465292,0.0,0.0,try,0.0,try,present,table,dining,1
12858,82136,good,entertainmentwe,went,0.0,to the theatre,,neutral,neutral,negative,neutral,0.0,0.0,-0.251108,go,0.0,go,past,entertainment,entertainment,1
12859,82136,good,entertainmentwe,to see,0.0,a show every night,,neutral,positive,positive,neutral,0.0,0.669392,0.304301,see,0.0,to see,future,entertainment,entertainment,1
12864,82136,good,you,reminded,0.0,that bringing any drinks on board is forbidden and they will be confiscated,,neutral,negative,neutral,neutral,0.0,-0.687697,0.0,remind,0.0,remind,past,board,ship,1
12869,248149,good,this,is,0.0,our second cruise on msc ships,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,be,0.0,be,present,ship,ship,1
12875,248149,good,this venerable family,has,0.0,a shipping history of over 300 years in 1675 it transported its first passengers,,positive,neutral,neutral,neutral,0.500078,0.0,0.0,have,0.0,have,present,passengers,people,1
12876,248149,good,it,carries,0.0,passengers from 186 different nationalities while sailing from five different continents with a fleet of over twelve cruising ships,,neutral,neutral,positive,neutral,0.0,0.0,0.401073,carry,0.0,carry,present,passengers,people,1
12886,248149,good,the ms divina,was,0.0,the only large ship in port,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,be,0.0,be,past,ship,ship,1
12888,248149,good,priority boarding,given,0.0,fast and simple with wheel chairs,,positive,positive,neutral,neutral,0.28164,0.608636,0.0,give,0.0,give,past,board,ship,1
12890,248149,good,the cabin stewards,entering,0.0,the ship,,positive,neutral,negative,neutral,0.479469,0.0,-0.274302,enter,0.0,enter,present,ship,ship,1
12893,248149,good,the ship,is,0.0,lovely,,neutral,positive,neutral,neutral,0.0,0.610521,0.0,be,0.0,be,present,ship,ship,1
12901,248149,good,the maximum capacity for passengers,is,0.0,4363,,positive,neutral,neutral,neutral,0.589026,0.0,0.0,be,0.0,be,present,passengers,people,1
12904,248149,good,midship,is,0.0,the casino veneziano,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,be,0.0,be,present,ship,ship,1
12905,248149,good,piazza del doge the cigar lounge the shops ponte dei sospiri the excursion office the upper level of the black crab dining room and finally all the way aft,are,0.0,,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,be,0.0,be,present,dining room,dining,1
12906,248149,good,the upper level of the black crab dining room and finally all the way aft,is,0.0,the villa rossa panoramic restaurant,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,be,0.0,be,present,dining room,dining,1
12912,248149,good,midship,is,0.0,the la luna piano bar and the caffe italia,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,be,0.0,be,present,ship,ship,1
12915,248149,good,midship,is,0.0,the covered pool,,neutral,positive,neutral,neutral,0.0,0.339656,0.0,be,0.0,be,present,ship,ship,1
12916,248149,good,midship,is,0.0,the aqua park with whirlpool spas,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,be,0.0,be,present,ship,ship,1
12918,248149,good,midship,are,0.0,whirl pool spas,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,be,0.0,be,present,ship,ship,1
12924,85443,good,those,said,0.0,xxxxx cruises had much better entertainment cabins food prices staff etc,,neutral,positive,neutral,neutral,0.0,0.739413,0.0,say,0.0,say,past,entertainment,entertainment,1
12934,85443,good,food,was,0.0,fine,,neutral,positive,neutral,neutral,0.0,0.570784,0.0,be,0.0,be,past,food,food,1
12935,85443,good,entertainment,was,0.0,superb of course they do it better on xxxxx cruises,,positive,positive,neutral,neutral,0.353007,0.890362,0.0,be,0.0,be,past,entertainment,entertainment,1
12945,90277,bad,the msc poesia,is,0.0,a beautiful ship,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,be,0.0,be,present,ship,ship,1
12946,90277,bad,the dining room waiters and some of the servers in the lounges,were,0.0,pleasant and put their hearts and skills into their jobs,,positive,positive,neutral,neutral,0.730331,0.883262,0.0,be,0.0,be,past,waiter,dining,1
12947,90277,bad,some of the crew members the cabin crew the dining room waiters and some of the servers in the lounges,put,0.0,their hearts and skills,,positive,positive,neutral,neutral,0.680523,0.695622,0.0,put,0.0,put,past,waiter,dining,1
12956,90277,bad,meals and entertainment,were,0.0,duplicated,,positive,negative,neutral,neutral,0.730333,-0.322339,0.0,be,0.0,be,past,entertainment,entertainment,1
12957,90277,bad,the entertainment,was,0.0,low budget,,positive,negative,neutral,neutral,0.387758,-0.782762,0.0,be,0.0,be,past,entertainment,entertainment,1
12958,90277,bad,the entertainment,lacked,0.0,diversification,,positive,neutral,negative,neutral,0.387758,0.0,-0.55493,lack,0.0,lack,past,entertainment,entertainment,1
12962,90277,bad,the cruise director,was,0.0,nothing more than a translator,,neutral,negative,neutral,neutral,0.0,-0.587621,0.0,be,0.0,be,past,cruise director,service,1
12967,90277,bad,she,had,0.0,no clue as to what a cruise director can do for an audience,,neutral,negative,neutral,neutral,0.0,-0.606357,0.0,have,0.0,have,past,cruise director,service,1
12994,90277,bad,they,would tell,0.0,to meet in a certain lounge at a specific time,,neutral,positive,neutral,neutral,0.0,0.331416,0.0,tell,0.0,would tell,future,time,time,1
13008,260792,bad,one,would expect,0.0,this to be at dinner time,,neutral,positive,neutral,neutral,0.0,0.277487,0.0,expect,0.0,would expect,future,time,time,1
13014,260792,bad,this cruse felt like the ship,is,0.0,not managed by the captain or the management,,positive,negative,neutral,neutral,0.248994,-0.338207,0.0,be,0.0,be,present,ship,ship,1
13015,260792,bad,by the captain or the management,managed,1.0,the ship,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,manage,0.0,manage,past,ship,ship,1
13016,260792,bad,passengers rude and uneducated going to the buffet for breakfast or lunch,was,0.0,like going to a daily stampede,,negative,neutral,neutral,neutral,-0.759684,0.0,0.0,be,0.0,be,past,passengers,people,1
13019,260792,bad,you,want,0.0,a relaxing cruse with polite friendly and educated passengers efficient friendly trained crew in control of the ship,,neutral,positive,neutral,neutral,0.0,0.990946,0.0,want,0.0,want,present,passengers,people,1
13023,254267,good,we all,had,0.0,a wonderful time,,neutral,positive,neutral,neutral,0.0,0.844064,0.0,have,0.0,have,past,time,time,1
13032,254267,good,we,did spend,0.0,some time,in the yacht club lounge,neutral,neutral,neutral,positive,0.0,0.0,0.0,spend,0.214771,do spend,past,time,time,1
13036,254267,good,the ship,is laid,0.0,,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,be,0.0,be lay,present,ship,ship,1
13037,254267,good,you,get,0.0,the point that there are some decks you can't get to from certain areas of the ship,,neutral,negative,neutral,neutral,0.0,-0.315853,0.0,get,0.0,get,present,ship,ship,1
13041,254267,good,buffet and pools,were,0.0,all just off the elevators,,positive,neutral,neutral,neutral,0.358747,0.0,0.0,be,0.0,be,past,buffet,food,1
13045,254267,good,4 other drawers,are,0.0,available in the bedside tables,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,be,0.0,be,present,table,dining,1
13046,254267,good,i,have laid,0.0,the most comfortable sofa bed,,neutral,positive,negative,neutral,0.0,0.755431,-0.225047,lay,0.0,have lay,past,table,dining,1
13049,254267,good,the food,was,0.0,incredible and always way too much,,neutral,positive,neutral,neutral,0.0,0.777621,0.0,be,0.0,be,past,food,food,1
13059,254267,good,the food,was,0.0,very good,,neutral,positive,neutral,neutral,0.0,0.673685,0.0,be,0.0,be,past,food,food,1
13065,254267,good,the entertainment in the theater,was,0.0,phenomenal,,positive,positive,neutral,neutral,0.505875,0.321908,0.0,be,0.0,be,past,entertainment,entertainment,1
13069,254267,good,my sons,spent,0.0,a lot of time,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,spend,0.0,spend,past,time,time,1
13076,49153,good,we cabbed it to the port,were,0.0,on board,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,be,0.0,be,past,board,ship,1
13086,49153,good,the ship itself,was,0.0,sparkling from stem to stern,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,be,0.0,be,past,ship,ship,1
13087,49153,good,this,was,0.0,a fact remarked on by many passengers,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,be,0.0,be,past,passengers,people,1
13088,49153,good,by many passengers,remarked,0.0,this,,neutral,neutral,positive,neutral,0.0,0.0,0.208412,remark,0.0,remark,past,passengers,people,1
